corpus,nn
дагестанский русский (61 носит.),2
диалект с. Кеба (8 носит.),0
хиславичский говор (25 носит.),8
говор Средней Пёзы (7 носит.),3
говоры низовья рек Лух и Теза (16 носит.),1
лужниковский говор (8 носит.),0
говор д. Шетнево и Макеево (8 носит.),0
говор с. Малинино (22 носит.),2
говор д. Нехочи (5 носит.),1
опочецкие говоры (15 носит.),2
говор с. Роговатка (8 носит.),2
говор с. Спиридонова Буда (8 носит.),4
говор с. Церковное (1 носит.),0
говор верхней Пинеги и Выи (16 носит.),1
говор г. Звенигород (10 носит.),0
башкирский русский (10 носит.),2
бесермянский русский (22 носит.),8
чувашский русский (18 носит.),0
карельский русский (99 носит.),11
цыганский русский (11 носит.),2
